proporcao_remocao,acc_gpt_lp_mean,precision_gpt_lp_mean,recall_gpt_lp_mean,f1_gpt_lp_mean,acc_gpt_lp_std,precision_gpt_lp_std,recall_gpt_lp_std,f1_gpt_lp_std,acc_gpt_no_lp_mean,precision_gpt_no_lp_mean,recall_gpt_no_lp_mean,f1_gpt_no_lp_mean,acc_gpt_no_lp_std,precision_gpt_no_lp_std,recall_gpt_no_lp_std,f1_gpt_no_lp_std
0.0,0.7802777777777778,0.8126707763350804,0.7802777777777778,0.7671110230989926,0.20677111029461812,0.18814341847193872,0.20677111029461812,0.2207946597825076,,,,,,,,
0.0,,,,,,,,,0.9491319444444444,0.9496269702964063,0.9491319444444444,0.9491251124082528,0.0050516557506470544,0.004550195887595732,0.0050516557506470544,0.005063933308959055
0.5,0.7702777777777776,0.8643599444766158,0.7702777777777776,0.7136326447486929,0.22445783014952295,0.09960601473307801,0.22445783014952295,0.3017945649867072,,,,,,,,
0.5,,,,,,,,,0.8051388888888888,0.8792386989277036,0.8051388888888888,0.7696201244588358,0.20284709146406835,0.1014424546416303,0.20284709146406835,0.2515323122537771
0.75,0.5605555555555555,0.46379480001810086,0.5605555555555555,0.4401418542761781,0.07868150558414382,0.2883093644303266,0.07868150558414382,0.14165685560789498,,,,,,,,
0.75,,,,,,,,,0.7155555555555555,0.8389287670017188,0.7155555555555555,0.648126826794029,0.21504164917436258,0.10266745451241974,0.21504164917436258,0.27679270398308287
