proporcao_remocao,acc_log_lp,precision_log_lp,recall_log_lp,f1_log_lp,acc_xgb_lp,precision_xgb_lp,recall_xgb_lp,f1_xgb_lp,acc_log_no_lp,precision_log_no_lp,recall_log_no_lp,f1_log_no_lp,acc_xgb_no_lp,precision_xgb_no_lp,recall_xgb_no_lp,f1_xgb_no_lp
0.0,0.9465277777777777,0.9467803267879256,0.9465277777777777,0.9465220783544014,0.9527777777777777,0.9530577005577006,0.9527777777777777,0.9527687575396435,0.9465277777777777,0.9467803267879256,0.9465277777777777,0.9465220783544014,0.9527777777777777,0.9530577005577006,0.9527777777777777,0.9527687575396435
0.1,0.94375,0.9447937599486298,0.94375,0.9437129448249802,0.9361111111111111,0.9387526524575196,0.9361111111111111,0.9360074074074074,0.94375,0.9447937599486298,0.94375,0.9437129448249802,0.9361111111111111,0.9387526524575196,0.9361111111111111,0.9360074074074074
0.2,0.9145833333333333,0.9232174180832717,0.9145833333333333,0.914126830835052,0.9173611111111111,0.9241117150007225,0.9173611111111111,0.9170150770874285,0.9145833333333333,0.9232174180832717,0.9145833333333333,0.914126830835052,0.9173611111111111,0.9241117150007225,0.9173611111111111,0.9170150770874285
0.3,0.84375,0.877321582776553,0.84375,0.8401180442319682,0.875,0.8934157621251793,0.875,0.8734765625,0.84375,0.877321582776553,0.84375,0.8401180442319682,0.875,0.8934157621251793,0.875,0.8734765625
0.4,0.7236111111111111,0.8218278769841271,0.7236111111111111,0.7004828636322112,0.8083333333333333,0.8536416740609286,0.8083333333333333,0.8018713960140107,0.7236111111111111,0.8218278769841271,0.7236111111111111,0.7004828636322112,0.8083333333333333,0.8536416740609286,0.8083333333333333,0.8018713960140107
0.5,0.5756944444444444,0.7701810869384013,0.5756944444444444,0.4816508392931751,0.6770833333333334,0.7945658254482568,0.6770833333333334,0.6408823330482968,0.5756944444444444,0.7701810869384013,0.5756944444444444,0.4816508392931751,0.6770833333333334,0.7945658254482568,0.6770833333333334,0.6408823330482968
0.6,0.5305555555555556,0.757554442854872,0.5305555555555556,0.39662170363014454,0.6152777777777778,0.7709249851237783,0.6152777777777778,0.5500459538642024,0.5305555555555556,0.757554442854872,0.5305555555555556,0.39662170363014454,0.6152777777777778,0.7709249851237783,0.6152777777777778,0.5500459538642024
0.7,0.5020833333333333,0.7501766272874681,0.5020833333333333,0.33641960668718035,0.5319444444444444,0.7579254218401783,0.5319444444444444,0.3994169254575,0.5020833333333333,0.7501766272874681,0.5020833333333333,0.33641960668718035,0.5319444444444444,0.7579254218401783,0.5319444444444444,0.3994169254575
0.8,0.5013888888888889,0.2513908179012346,0.5013888888888889,0.3348776852708398,0.5111111111111111,0.7524700015583606,0.5111111111111111,0.3561328706671687,0.5013888888888889,0.2513908179012346,0.5013888888888889,0.3348776852708398,0.5111111111111111,0.7524700015583606,0.5111111111111111,0.3561328706671687
0.9,0.5013888888888889,0.2513908179012346,0.5013888888888889,0.3348776852708398,0.5048611111111111,0.7508778552071236,0.5048611111111111,0.342550362474733,0.5013888888888889,0.2513908179012346,0.5013888888888889,0.3348776852708398,0.5048611111111111,0.7508778552071236,0.5048611111111111,0.342550362474733
0.99,0.5013888888888889,0.2513908179012346,0.5013888888888889,0.3348776852708398,0.5013888888888889,0.2513908179012346,0.5013888888888889,0.3348776852708398,0.5013888888888889,0.2513908179012346,0.5013888888888889,0.3348776852708398,0.5013888888888889,0.2513908179012346,0.5013888888888889,0.3348776852708398
