proporcao_remocao,acc_log_lp,precision_log_lp,recall_log_lp,f1_log_lp,acc_xgb_lp,precision_xgb_lp,recall_xgb_lp,f1_xgb_lp,acc_log_no_lp,precision_log_no_lp,recall_log_no_lp,f1_log_no_lp,acc_xgb_no_lp,precision_xgb_no_lp,recall_xgb_no_lp,f1_xgb_no_lp
0.0,0.7979166666666667,0.799410744272841,0.7979166666666667,0.7974919450371222,0.8736111111111111,0.8748853662070964,0.8736111111111111,0.8734283368519821,0.7979166666666667,0.799410744272841,0.7979166666666667,0.7974919450371222,0.8736111111111111,0.8748853662070964,0.8736111111111111,0.8734283368519821
0.1,0.7944444444444444,0.806434336638051,0.7944444444444444,0.7919492672111639,0.8631944444444445,0.8676082538337346,0.8631944444444445,0.8626303285941117,0.7944444444444444,0.806434336638051,0.7944444444444444,0.7919492672111639,0.8631944444444445,0.8676082538337346,0.8631944444444445,0.8626303285941117
0.2,0.7819444444444444,0.8176005747126437,0.7819444444444444,0.7748212254184951,0.8256944444444444,0.841847282785352,0.8256944444444444,0.823208418561539,0.7819444444444444,0.8176005747126437,0.7819444444444444,0.7748212254184951,0.8256944444444444,0.841847282785352,0.8256944444444444,0.823208418561539
0.3,0.7430555555555556,0.8095148201844468,0.7430555555555556,0.7270679012345678,0.7916666666666666,0.8279670576623102,0.7916666666666666,0.7849707715628376,0.7430555555555556,0.8095148201844468,0.7430555555555556,0.7270679012345678,0.7916666666666666,0.8279670576623102,0.7916666666666666,0.7849707715628376
0.4,0.6861111111111111,0.7955482824783929,0.6861111111111111,0.6516261422601828,0.7361111111111112,0.8036119506263293,0.7361111111111112,0.7190814396868704,0.6861111111111111,0.7955482824783929,0.6861111111111111,0.6516261422601828,0.7361111111111112,0.8036119506263293,0.7361111111111112,0.7190814396868704
0.5,0.6152777777777778,0.7810134784862623,0.6152777777777778,0.544457692063003,0.6659722222222222,0.7549639724746001,0.6659722222222222,0.6312289825844805,0.6152777777777778,0.7810134784862623,0.6152777777777778,0.544457692063003,0.6659722222222222,0.7549639724746001,0.6659722222222222,0.6312289825844805
0.6,0.5506944444444445,0.761499879139473,0.5506944444444445,0.4305360777663269,0.6104166666666667,0.7455798183401766,0.6104166666666667,0.543689673934364,0.5506944444444445,0.761499879139473,0.5506944444444445,0.4305360777663269,0.6104166666666667,0.7455798183401766,0.6104166666666667,0.543689673934364
0.7,0.5215277777777778,0.7535245132535773,0.5215277777777778,0.37135644302129633,0.5548611111111111,0.7021855776134753,0.5548611111111111,0.44814018925587695,0.5215277777777778,0.7535245132535773,0.5215277777777778,0.37135644302129633,0.5548611111111111,0.7021855776134753,0.5548611111111111,0.44814018925587695
0.8,0.5097222222222222,0.7504288363467779,0.5097222222222222,0.34571926180740353,0.5180555555555556,0.6979957805907172,0.5180555555555556,0.3662240280751296,0.5097222222222222,0.7504288363467779,0.5097222222222222,0.34571926180740353,0.5180555555555556,0.6979957805907172,0.5180555555555556,0.3662240280751296
0.9,0.5083333333333333,0.25840277777777776,0.5083333333333333,0.34263351749539595,0.5118055555555555,0.7509698025551684,0.5118055555555555,0.35031983427730295,0.5083333333333333,0.25840277777777776,0.5083333333333333,0.34263351749539595,0.5118055555555555,0.7509698025551684,0.5118055555555555,0.35031983427730295
0.99,0.5083333333333333,0.25840277777777776,0.5083333333333333,0.34263351749539595,0.5083333333333333,0.25840277777777776,0.5083333333333333,0.34263351749539595,0.5083333333333333,0.25840277777777776,0.5083333333333333,0.34263351749539595,0.5083333333333333,0.25840277777777776,0.5083333333333333,0.34263351749539595
