proporcao_remocao,acc_log,precision_log,recall_log,f1_log,acc_xgb,precision_xgb,recall_xgb,f1_xgb
0.0,0.9465277777777777,0.9467803267879256,0.9465277777777777,0.9465220783544014,0.9527777777777777,0.9530577005577006,0.9527777777777777,0.9527687575396435
0.1,0.9479166666666666,0.9480190381638047,0.9479166666666666,0.9479125218544643,0.9472222222222222,0.9478940418679549,0.9472222222222222,0.9471994057422047
0.2,0.9368055555555556,0.9376094280487624,0.9368055555555556,0.9367724698581203,0.9444444444444444,0.9462567687665344,0.9444444444444444,0.9443827488344894
0.3,0.9229166666666667,0.9272898688508604,0.9229166666666667,0.9227071142685015,0.9347222222222222,0.9386195499296766,0.9347222222222222,0.9345677078498716
0.4,0.8881944444444444,0.900215020598663,0.8881944444444444,0.887317973604076,0.8930555555555556,0.9050293120328582,0.8930555555555556,0.8922304490902052
0.5,0.8458333333333333,0.8716382575757576,0.8458333333333333,0.8430422312640761,0.8840277777777777,0.9006831124654064,0.8840277777777777,0.8827725424199163
0.6,0.7597222222222222,0.8275716320716321,0.7597222222222222,0.7463955395649581,0.8194444444444444,0.8592702374083129,0.8194444444444444,0.8141946940227432
0.7,0.7430555555555556,0.815847210476152,0.7430555555555556,0.7271076429820216,0.7958333333333333,0.8408523213521609,0.7958333333333333,0.7887290439661468
0.8,0.6375,0.7651764666136128,0.6375,0.5872962171573283,0.6944444444444444,0.7944789222043304,0.6944444444444444,0.6657124538617222
0.9,0.5854166666666667,0.7411080897004149,0.5854166666666667,0.5046964622900434,0.6173611111111111,0.7397491492252873,0.6173611111111111,0.5606759183973594
